檢索表,,,,,,,,,,,,,,
類別,編號,項目,位置,,,,,,,,,,,
轉接頭,TMX_B-022,HDMI to USBC 轉接器-01,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-023,HDMI to USBC 轉接器-02,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-058,UGREEN 綠聯臺灣 創惟晶片 五合一Type-C集線器 ,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-059,UGREEN 綠聯臺灣 創惟晶片 五合一Type-C集線器 ,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-060,UGREEN 綠聯臺灣 創惟晶片 五合一Type-C集線器 ,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-061,UGREEN USB-C公轉USB-A 母轉接頭,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-062,UGREEN USB-C公轉USB-A 母轉接頭,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-063,UGREEN USB-C公轉USB-A 母轉接頭,洞洞板,,,,,,,,,,,
轉接頭,TMX_B-065,UGREEN USB-C公轉USB-A 母轉接頭,洞洞板,,,,,,,,,,,
相機,BT-M-cam-001-01,SONY a6400 微單相機,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-001-02,SONY a6400 微單相機 電池-1,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-001-03,SONY a6400 微單相機 電池-2,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-001-04,SONY a6400 微單相機 電池-3,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-001-05,SONY a6400 微單相機 模擬電池（TC-NPFW50）,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-001-06,FW50原廠電池充電器,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-001-07,SONY原廠相機充電器,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-002-01,INSTA 360 ONE運動相機,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-002-02,INSTA 360 ONE運動相機 電池-1,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-002-03,INSTA 360 ONE運動相機 電池-2,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-002-04,TAKEWAY 腳架雲台,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-002-05,INSTA 360 ONE運動相機 電池充電器,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-002-06,INSTA 360 ONE運動相機 支架,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-003-01,DJI Action4 運動相機,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-003-02,DJI Action4 運動相機 電池-1,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-003-03,DJI Action4 運動相機 電池-2,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-003-04,DJI Action4 運動相機 電池-3,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-003-05,DJI Action4 運動相機 支架 (含三腳架),木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-003-06,POLYWELL 遙控三腳架 (含兩盞小燈),木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-003-07,DJI Action4 運動相機 電池充電盒,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-004-01,DJI mavic air 空拍機（電池無法充電，看需求考慮加購電池）,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-004-02,DJI mavic air 空拍機 遙控器,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-004-03,DJI mavic air 空拍機 電池-1（無法過電）,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-004-04,DJI mavic air 空拍機 電池-2（無法過電）,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-004-05,DJI mavic air 空拍機 電池-3（無法過電）,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam lens-001,SONY 18/105鏡頭 (含遮光罩),木櫃子右中,,,,,,,,,,,
相機,BT-M-cam parts-001,相機包（卡其）,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam parts-002,相機包（橘）,木櫃子右中,,,,,,,,,,,
相機,BT-M-cam-002-07,INSTA 360 ONE運動相機 閃傳伴侶,木櫃子右中,,,,,,,,,,,
相機, BT-VA -092 ,Osmo Pocket 3 收納包 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -093,Osmo Pocket 3 防護殼 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -094,"Osmo Pocket 3 1/4"" 螺紋手把 × 1",木櫃子右中,,,,,,,,,,,
相機, BT-VA -095,Osmo Pocket 3 主機 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -096,Osmo Pocket 3 廣角鏡 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -097,DJI Mic 2 發射器（透明黑）× 1,木櫃子右中,,,,,,,,,,,  
相機, BT-VA -098,DJI Mic 2 背夾式磁鐵 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -099,Osmo Pocket 3 續航手把 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -100,Osmo 迷你三腳架 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -101,發射器 (TX)： DJI Mic 3 發射器 × 2,木櫃子右中,,,,,,,,,,,
相機, BT-VA -102,接收器 (RX)： DJI Mic 3 接收器 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -103,充電盒： DJI Mic 3 充電盒 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -104, DJI Mic 3 收納袋 × 1,木櫃子右中,,,,,,,,,,,
相機, BT-VA -105,3.5mm TRS 帶鎖音訊轉接線 × 1,木櫃子右中,,,,,,,,,,,
燈光,BT-M-light-003,環形手機支架補光燈,地上,,,,,,,,,,,
燈光,BT-M-light-004,神牛方形小補光燈-1,小推車,,,,,,,,,,,
燈光,BT-M-light-005,VLJIM 方形小補光燈,小推車,,,,,,,,,,,
燈光,BT-M-light-006,VLJIM LED小平板補光燈,小推車,,,,,,,,,,,
燈光, BT-VA -109,攝力派 大型環形補光燈-2,地上,,,,,,,,,,,
燈光,BT-M-light-007,神牛Godox SL60W補光燈,小推車,,,,,,,,,,,
燈光, BT-VA -108,攝力派 大型環形補光燈-1,地上,,,,,,,,,,,
收音,BT-M-mic-001,Rode wireless go 一代(1V1相機用),木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-002,Rode wireless go 二代(1V2),木櫃子右上,,,,,,,,,,,
收音,BT-M-mic-003,夾式麥克風-1,木櫃子右上,,,,,,,,,,,
